teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
WSH,1,2,2,1,1,1,2,1,2,81,263,182,66,134,68,7,2,66,26,32,10,10,21,31,2,0,16,6,8,1,4,3,1,19,8,118,53,45,15,129,114,12,6,52,19,23
PIT,2,10,8,2,2,5,4,2,2,48,282,234,48,158,110,6,4,66,24,31,10,-5,35,30,4,2,10,3,4,2,18,13,2,21,11,111,46,40,0,124,124,15,7,45,16,19
CHI,2,9,1,1,1,6,1,1,2,31,244,213,33,130,97,10,5,57,18,26,10,-9,35,26,3,4,10,2,3,5,20,2,3,23,9,109,46,37,-2,114,116,13,4,52,19,24
CBJ,3,15,3,3,3,7,3,3,2,54,249,195,43,130,87,12,1,57,22,28,10,-7,26,19,5,2,8,3,3,4,27,4,4,24,8,108,48,39,11,119,108,12,7,51,17,22
MIN,4,5,2,2,2,3,2,2,2,58,266,208,46,139,93,12,2,56,24,27,10,3,28,31,3,2,12,5,5,7,12,5,5,25,8,106,46,42,12,127,115,13,6,50,18,22
ANA,1,1,7,3,1,1,4,1,2,23,223,200,38,122,84,8,4,62,23,29,10,15,22,37,0,2,18,7,8,3,1,17,6,23,13,105,43,40,-15,101,116,15,9,43,17,17
MTL,5,6,4,4,1,3,1,1,2,26,226,200,34,122,88,12,5,53,23,24,10,7,20,27,3,1,13,4,6,11,10,6,7,26,9,103,44,33,-8,104,112,14,4,50,10,23
EDM,6,2,3,4,3,2,1,2,2,35,247,212,20,120,100,12,4,54,19,25,10,12,26,38,2,0,16,7,8,10,3,7,8,26,9,103,43,37,15,127,112,14,5,49,18,22
NYR,12,12,1,5,7,6,1,4,2,36,256,220,6,129,123,16,4,46,20,21,10,-6,31,25,4,3,9,3,3,22,22,1,9,28,6,102,45,40,30,127,97,12,2,56,20,27
STL,7,4,4,5,4,2,3,3,2,17,235,218,11,124,113,12,5,53,20,24,10,11,23,34,1,2,16,6,7,12,6,9,10,29,7,99,44,38,6,111,105,17,2,46,18,22
SJS,3,12,6,6,2,6,3,3,2,20,221,201,21,111,90,11,4,56,21,26,10,-10,35,25,6,0,8,3,4,6,26,15,11,29,7,99,44,38,-1,110,111,18,3,43,17,20
OTT,7,11,6,6,2,6,3,2,2,-2,212,214,5,102,97,11,8,52,17,22,10,-6,27,21,4,2,10,2,4,14,19,11,12,28,10,98,38,34,-7,110,117,17,2,46,17,22
BOS,11,5,5,7,5,2,2,3,2,22,234,212,18,118,100,17,1,47,20,23,10,7,20,27,3,1,13,6,6,21,9,8,13,31,7,95,42,38,4,116,112,14,6,48,18,21
TOR,10,7,7,8,4,4,4,4,2,9,251,242,8,124,116,13,7,49,17,21,10,0,30,30,4,0,12,6,6,18,11,12,14,27,15,95,39,33,1,127,126,14,8,46,16,19
CGY,9,11,5,7,4,5,2,4,2,5,226,221,19,131,112,17,0,48,18,24,10,-3,28,25,6,0,8,3,4,19,24,10,15,33,4,94,41,32,-14,95,109,16,4,46,14,21
