teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
WSH,1,8,1,1,1,5,1,1,2,59,252,193,36,129,93,8,4,62,26,29,10,-2,23,21,3,3,11,3,4,1,14,2,1,18,8,120,52,45,23,123,100,10,4,58,19,27
DAL,1,2,3,1,1,2,2,1,2,37,267,230,31,138,107,11,2,58,24,28,10,15,19,34,2,0,16,8,8,3,2,5,2,23,9,109,48,42,6,129,123,12,7,51,18,22
STL,6,1,2,2,4,1,1,2,2,23,224,201,11,108,97,13,4,52,16,24,10,17,16,33,2,0,16,7,8,13,1,3,3,24,9,107,44,36,12,116,104,11,5,55,20,25
PIT,3,1,3,2,3,1,2,2,2,42,245,203,30,134,104,11,4,56,21,26,10,17,24,41,2,0,16,5,8,5,3,6,4,26,8,104,44,38,12,111,99,15,4,48,17,22
CHI,2,5,6,3,2,4,3,3,2,26,235,209,36,120,84,11,4,56,23,26,10,1,33,34,2,3,13,4,5,4,9,10,5,26,9,103,46,36,-10,115,125,15,5,47,13,21
ANA,3,3,4,4,1,1,2,1,2,26,218,192,29,115,86,10,6,56,21,25,10,9,24,33,2,2,14,5,6,6,5,8,6,25,11,103,43,39,-3,103,106,15,5,47,18,21
FLA,5,2,4,3,1,1,2,1,2,36,239,203,23,126,103,11,5,55,20,25,10,8,26,34,3,0,14,7,7,9,4,7,7,26,9,103,40,39,13,113,100,15,4,48,19,22
LAK,4,10,5,5,2,4,3,2,2,30,225,195,13,106,93,12,3,55,20,26,10,-3,30,27,5,1,9,3,4,7,24,9,8,28,6,102,46,34,17,119,102,16,3,47,14,22
NYR,2,3,9,4,2,2,4,3,2,19,236,217,29,130,101,10,4,58,24,27,10,6,27,33,3,1,13,6,6,2,7,16,9,27,9,101,43,39,-10,106,116,17,5,43,15,19
NYI,4,6,5,5,4,4,3,4,2,16,232,216,24,127,103,11,5,55,22,25,10,-2,34,32,3,1,13,3,6,8,11,11,10,27,10,100,40,34,-8,105,113,16,5,45,12,20
SJS,12,8,1,6,6,2,1,3,2,31,241,210,3,116,113,20,3,39,16,18,10,2,25,27,5,0,10,4,5,26,20,1,11,30,6,98,42,37,28,125,97,10,3,59,21,28
TBL,7,9,6,6,2,4,3,2,2,26,227,201,21,120,99,13,3,53,18,25,10,1,30,31,5,0,10,5,5,11,15,12,12,31,5,97,43,36,5,107,102,18,2,44,18,21
PHI,6,5,10,7,5,3,5,5,2,-4,214,218,8,107,99,10,8,54,17,23,10,1,25,26,3,1,13,4,6,10,10,18,13,27,14,96,38,28,-12,107,119,17,6,42,11,18
NSH,5,6,8,7,3,5,5,4,2,13,228,215,30,128,98,11,7,53,20,23,10,1,30,31,4,1,11,3,5,12,13,17,14,27,14,96,37,35,-17,100,117,16,7,43,15,18
DET,8,11,7,8,3,6,4,3,2,-13,211,224,6,109,103,13,6,50,17,22,10,-7,34,27,5,0,10,5,5,14,17,14,15,30,11,93,39,30,-19,102,121,17,5,43,13,19
BOS,14,15,2,9,6,7,1,4,2,10,240,230,-18,111,129,18,6,40,14,17,10,-10,35,25,6,1,7,3,3,25,28,4,16,31,9,93,38,33,28,129,101,13,3,53,19,25
MIN,8,7,9,8,5,6,6,5,2,10,216,206,17,112,95,16,4,46,20,21,10,3,22,25,5,0,10,4,5,18,18,20,17,33,11,87,35,34,-7,104,111,17,7,41,14,17
CAR,11,13,12,10,6,7,7,6,2,-28,198,226,-7,107,114,15,7,45,16,19,10,-8,31,23,4,2,10,3,4,20,21,21,18,31,16,86,33,25,-21,91,112,16,9,41,9,16
OTT,9,7,13,11,4,3,6,5,2,-11,236,247,10,119,109,14,6,48,13,21,10,6,24,30,4,1,11,5,5,16,12,24,19,35,9,85,32,26,-21,117,138,21,3,37,13,17
NJD,12,14,11,12,7,8,6,7,2,-24,184,208,-9,92,101,17,5,43,14,19,10,0,20,20,5,1,9,4,4,21,22,19,20,36,8,84,36,27,-15,92,107,19,3,41,13,19
COL,13,14,7,9,7,7,4,6,2,-24,216,240,-18,108,126,20,4,38,13,17,10,-17,38,21,8,0,4,2,2,28,30,13,21,39,4,82,35,33,-6,108,114,19,0,44,20,22
MTL,10,10,14,13,5,5,7,6,2,-15,221,236,2,105,103,16,3,47,18,22,10,-1,31,30,5,0,10,5,5,17,16,25,22,38,6,82,33,30,-17,116,133,22,3,35,12,16
BUF,15,4,8,14,7,2,5,7,2,-21,201,222,-15,97,112,19,6,38,13,16,10,1,28,29,3,1,13,5,6,27,8,15,23,36,11,81,33,29,-6,104,110,17,5,43,16,19
ARI,7,12,13,10,3,6,6,4,2,-36,209,245,9,122,113,15,4,48,19,22,10,-7,28,21,5,1,9,4,4,15,26,29,24,39,8,78,34,29,-45,87,132,24,4,30,10,13
WPG,10,4,11,11,6,3,7,7,2,-24,215,239,-6,112,118,19,4,40,16,18,10,8,23,31,2,2,14,4,6,23,6,23,25,39,8,78,32,29,-18,103,121,20,4,38,13,17
CGY,9,11,12,12,4,5,5,5,2,-29,231,260,4,129,125,16,4,46,14,21,10,-6,37,31,5,1,9,4,4,19,25,28,26,40,7,77,33,24,-33,102,135,24,3,31,10,14
CBJ,13,12,15,15,8,6,8,8,2,-33,219,252,-8,120,128,17,6,42,11,18,10,2,29,31,5,0,10,3,5,22,19,26,27,40,8,76,28,26,-25,99,124,23,2,34,15,16
VAN,14,13,10,13,7,7,4,6,2,-52,191,243,-22,96,118,21,5,35,10,15,10,-12,36,24,5,1,9,3,4,30,27,22,28,38,13,75,26,22,-30,95,125,17,8,40,12,16
EDM,11,9,14,14,5,3,7,7,2,-42,203,245,-5,109,114,20,2,40,13,19,10,-1,33,32,5,1,9,4,4,24,23,30,29,43,8,70,27,20,-37,94,131,23,6,30,7,12
TOR,16,16,16,16,8,8,8,8,2,-48,198,246,-10,111,121,18,9,37,10,14,10,-13,37,24,7,0,6,1,3,29,29,27,30,42,11,69,23,20,-38,87,125,24,2,32,10,15
